GUID;Departament;Dispositiu;Edifici;Planta;Zona;Àrea Total (m²);Elements
"2kC6_jVVPD4u3biKT2xfoM";"";"Porta";"UDI";"P00";"001";"0";"1"
"2hLrug0VDEDOLgOtgdGPM2";"";"Porta";"UDI";"P00";"002";"0";"1"
"2kC6_jVVPD4u3biKT2xfi9";"";"Porta";"UDI";"P00";"002";"0";"1"
"0EIX1eco9B5A9cYVjo8qcp";"";"Porta";"UDI";"P00";"003";"0";"1"
"2hLrug0VDEDOLgOtgdGP8Z";"";"Porta";"UDI";"P00";"003";"0";"1"
"2hLrug0VDEDOLgOtgdGP8T";"";"Porta";"UDI";"P00";"005";"0";"1"
"2hLrug0VDEDOLgOtgdGP5V";"";"Porta";"UDI";"P00";"005";"0";"1"
"2hLrug0VDEDOLgOtgdGPJd";"";"Porta";"UDI";"P00";"005";"0";"1"
"2hLrug0VDEDOLgOtgdGPIx";"";"Porta";"UDI";"P00";"005";"0";"1"
"2hLrug0VDEDOLgOtgdGP65";"";"Porta";"UDI";"P00";"005";"0";"1"
"2hLrug0VDEDOLgOtgdGP7X";"";"Porta";"UDI";"P00";"005";"0";"1"
"2hLrug0VDEDOLgOtgdGP6l";"";"Porta";"UDI";"P00";"005";"0";"1"
"2hLrug0VDEDOLgOtgdGP5s";"";"Porta";"UDI";"P00";"011";"0";"1"
"2hLrug0VDEDOLgOtgdGP7U";"";"Porta";"UDI";"P00";"011";"0";"1"
"2hLrug0VDEDOLgOtgdGP3h";"";"Porta";"UDI";"P00";"011";"0";"1"
"2hLrug0VDEDOLgOtgdGPOC";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGOcF";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGOag";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGOaB";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGObY";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGOb_";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGObU";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGOY$";"";"Porta";"UDI";"P00";"014";"0";"1"
"2hLrug0VDEDOLgOtgdGOZe";"";"Porta";"UDI";"P00";"014";"0";"1"
