GUID,Departament,Dispositiu,Edifici,Planta,Zona,Space Dispositiu,Àrea Total,Elements
"2hLrug0VDEDOLgOtgdGOaB","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGObY","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGOb_","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGObU","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGOY$","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGOZe","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGOW1","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGOXn","","Porta","UDI","P00","018","WC","0","1"
"2hLrug0VDEDOLgOtgdGPUa","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPUB","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPV3","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPSx","","Porta","UDI","P00","033","Escala de servei","0","1"
"2hLrug0VDEDOLgOtgdGPRm","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPOa","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPOi","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPOq","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPOy","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPOC","","Porta","UDI","P00","014","Sala d'espera extraccions","0","1"
"2hLrug0VDEDOLgOtgdGPM2","","Porta","UDI","P00","002","Vestíbul/pas general","0","1"
"2hLrug0VDEDOLgOtgdGPIx","","Porta","UDI","P00","005","Secretaria","0","1"
"2hLrug0VDEDOLgOtgdGPJd","","Porta","UDI","P00","005","Secretaria","0","1"
"2hLrug0VDEDOLgOtgdGPGP","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGPCZ","","Porta","UDI","P00","025","Pas laboratori","0","1"
"2hLrug0VDEDOLgOtgdGP8Z","","Porta","UDI","P00","003","Cancell","0","1"
"2hLrug0VDEDOLgOtgdGP8T","","Porta","UDI","P00","005","Secretaria","0","1"
"2hLrug0VDEDOLgOtgdGP6l","","Porta","UDI","P00","005","Secretaria","0","1"
"2hLrug0VDEDOLgOtgdGP65","","Porta","UDI","P00","005","Secretaria","0","1"
"2hLrug0VDEDOLgOtgdGP7X","","Porta","UDI","P00","005","Secretaria","0","1"
"2hLrug0VDEDOLgOtgdGP7U","","Porta","UDI","P00","011","Secretaria direcció","0","1"
"2hLrug0VDEDOLgOtgdGP5s","","Porta","UDI","P00","011","Secretaria direcció","0","1"
"2hLrug0VDEDOLgOtgdGP5V","","Porta","UDI","P00","005","Secretaria","0","1"
"2hLrug0VDEDOLgOtgdGP3h","","Porta","UDI","P00","011","Secretaria direcció","0","1"
"2kC6_jVVPD4u3biKT2xfi9","","Porta","UDI","P00","002","Vestíbul/pas general","0","1"
"2kC6_jVVPD4u3biKT2xflr","","Porta","UDI","P00","001","Mòdul lavabos escala principal","0","1"
"2kC6_jVVPD4u3biKT2xfkE","","Porta","UDI","P00","001","Mòdul lavabos escala principal","0","1"
"2kC6_jVVPD4u3biKT2xfm9","","Porta","UDI","P00","001","Mòdul lavabos escala principal","0","1"
"2kC6_jVVPD4u3biKT2xfpn","","Porta","UDI","P00","001","Mòdul lavabos escala principal","0","1"
"2kC6_jVVPD4u3biKT2xfoM","","Porta","UDI","P00","001","Mòdul lavabos escala principal","0","1"
"0dLlR4SH52h8ogmGwFKRTd","","Porta","UDI","P00","032","Mòdul lavabos","0","1"
"0dLlR4SH52h8ogmGwFKRTc","","Porta","UDI","P00","032","Mòdul lavabos","0","1"
"1$3gjDcUDB2hRr4evSR8fA","","Porta","UDI","P00","030","Nevera","0","1"
"1$3gjDcUDB2hRr4evSR8fc","","Porta","UDI","P00","030","Nevera","0","1"
"3Ljdw17Rn9xAbcBVq7_cp$","","Porta","UDI","P01","008","Pas zona informàtcia","0","1"
"3Ljdw17Rn9xAbcBVq7_cnk","","Porta","UDI","P01","008","Pas zona informàtcia","0","1"
"3Ljdw17Rn9xAbcBVq7_d7s","","Porta","UDI","P01","007","Vestidor 2","0","1"
"3Ljdw17Rn9xAbcBVq7_d5b","","Porta","UDI","P01","004","Vestidor 1","0","1"
"3Ljdw17Rn9xAbcBVq7_cQD","","Porta","UDI","P01","008","Pas zona informàtcia","0","1"
"1Y57hoWCP1rfmgpHYXs$4H","","Porta","UDI","P01","001","Mòdul lavabos escala principal","0","1"
"1Y57hoWCP1rfmgpHYXs$4r","","Porta","UDI","P01","001","Mòdul lavabos escala principal","0","1"
"2ZWCajoPHD5RGgAVlN1hWi","","Porta","UDI","P01","018","Relax","0","1"
"2ObjyVdUT4Bg8spmVaIJG6","","Porta","UDI","P01","001","Mòdul lavabos escala principal","0","1"
"2ObjyVdUT4Bg8spmVaIJVU","","Porta","UDI","P01","002","Pas general","0","1"
"2ObjyVdUT4Bg8spmVaIJUF","","Porta","UDI","P01","001","Mòdul lavabos escala principal","0","1"
"2ObjyVdUT4Bg8spmVaIJT2","","Porta","UDI","P01","001","Mòdul lavabos escala principal","0","1"
"2ObjyVdUT4Bg8spmVaIJSG","","Porta","UDI","P01","001","Mòdul lavabos escala principal","0","1"
"2ObjyVdUT4Bg8spmVaIJRt","","Porta","UDI","P01","001","Mòdul lavabos escala principal","0","1"
